query	target	pident	alnlen	mismatch	gapopen	qstart	qend	tstart	tend	evalue	bitscore	query_len	query_class	target_len	target_class	RBP-class-pair	qcov	tcov	cov	modular	is_cterm_sim
CONT_002_KL10_PROTEIN_45	LIT_082_KL26KL74_PROTEIN_50	78.788	33	7	0	1	33	1	33	2.41e-09	54.3	511	tailspike depolymerase	595	tailspike depolymerase	Same	0.06	0.06	0.06	Nterminal sharing	
CONT_002_KL10_PROTEIN_45	REC_019_KL21KL3_PROTEIN_44	50.0	74	19	4	1	66	1	64	7.7e-09	52.8	511	tailspike depolymerase	576	tailspike depolymerase	Same	0.14	0.13	0.13	Nterminal sharing	
CONT_002_KL10_PROTEIN_45	REC_025_KL47_PROTEIN_45	53.333	45	20	1	1	45	1	44	4.61e-08	50.4	511	tailspike depolymerase	641	tailspike depolymerase	Same	0.09	0.07	0.07	Nterminal sharing	
CONT_002_KL10_PROTEIN_45	REC_024_KL47_PROTEIN_44	53.333	45	20	1	1	45	1	44	4.78e-08	50.1	511	tailspike depolymerase	641	tailspike depolymerase	Same	0.09	0.07	0.07	Nterminal sharing	
CONT_002_KL10_PROTEIN_45	REC_023_KL47_PROTEIN_43	53.333	45	20	1	1	45	1	44	4.86e-08	50.1	511	tailspike depolymerase	641	tailspike depolymerase	Same	0.09	0.07	0.07	Nterminal sharing	
CONT_002_KL10_PROTEIN_45	LIT_041_KL1KL2KL57_PROTEIN_46	66.667	33	11	0	1	33	1	33	2.75e-07	47.8	511	tailspike depolymerase	560	tailspike depolymerase	Same	0.06	0.06	0.06	Nterminal sharing	
CONT_004_KL17_PROTEIN_45	REC_026_KL5KL8_PROTEIN_41	84.375	32	5	0	1	32	1	32	2.28e-11	60.8	521	putative esterase containing tailspike	684	tailspike depolymerase	Different	0.06	0.05	0.05	Nterminal sharing	
CONT_004_KL17_PROTEIN_45	REC_019_KL21KL3_PROTEIN_44	72.973	37	10	0	1	37	1	37	6.99e-11	59.3	521	putative esterase containing tailspike	576	tailspike depolymerase	Different	0.07	0.06	0.06	Nterminal sharing	
CONT_004_KL17_PROTEIN_45	REC_022_KL30KL69_PROTEIN_43	83.333	30	5	0	3	32	4	33	2.97e-10	57.4	521	putative esterase containing tailspike	685	tailspike depolymerase	Different	0.06	0.04	0.04	Nterminal sharing	
CONT_004_KL17_PROTEIN_45	LIT_082_KL26KL74_PROTEIN_50	80.0	30	6	0	1	30	1	30	1.25e-09	55.5	521	putative esterase containing tailspike	595	tailspike depolymerase	Different	0.06	0.05	0.05	Nterminal sharing	
CONT_004_KL17_PROTEIN_45	LIT_087_KL82_PROTEIN_45	70.588	34	10	0	4	37	5	38	7.39e-09	52.8	521	putative esterase containing tailspike	638	tailspike depolymerase	Different	0.07	0.05	0.05	Nterminal sharing	
CONT_004_KL17_PROTEIN_45	LIT_085_KL56_PROTEIN_48	70.968	31	9	0	1	31	2	32	1.33e-08	52.0	521	putative esterase containing tailspike	678	tailspike depolymerase	Different	0.06	0.05	0.05	Nterminal sharing	
CONT_004_KL17_PROTEIN_45	REC_018_KL21_PROTEIN_42	66.667	33	11	0	5	37	4	36	5.16e-08	50.1	521	putative esterase containing tailspike	575	tailspike depolymerase	Different	0.06	0.06	0.06	Nterminal sharing	
CONT_004_KL17_PROTEIN_45	REC_030_KL56KN3_PROTEIN_42	64.516	31	11	0	1	31	2	32	2.26e-07	48.1	521	putative esterase containing tailspike	678	tailspike depolymerase	Different	0.06	0.05	0.05	Nterminal sharing	
