query	target	complex_qTMscore	complex_tTMscore	tstart	tend	RBP-class
RBPPD001	CONT_008_KL53_PROTEIN_1	1.0	0.66	1	263	SU10 tail fiber-like
RBPPD001	LIT_035_KL24_PROTEIN_4	0.88	0.42	126	385	TC5-like tail fiber
RBPPD002	CONT_008_KL53_PROTEIN_1	1.0	0.34	265	400	SU10 tail fiber-like
RBPPD003	LIT_014_KL30_PROTEIN_22	1.0	0.56	1	294	putative esterase containing tailspike
RBPPD003	LIT_086_KL48_PROTEIN_50	0.97	0.55	1	294	putative esterase containing tailspike
RBPPD003	CONT_014_KL53_PROTEIN_39	0.9	0.51	1	293	putative esterase containing tailspike
RBPPD003	CONT_004_KL17_PROTEIN_45	0.89	0.5	1	293	putative esterase containing tailspike
RBPPD004	LIT_014_KL30_PROTEIN_22	1.0	0.43	296	522	putative esterase containing tailspike
RBPPD004	LIT_086_KL48_PROTEIN_50	1.0	0.44	294	521	putative esterase containing tailspike
RBPPD004	CONT_004_KL17_PROTEIN_45	0.99	0.43	295	521	putative esterase containing tailspike
RBPPD004	CONT_014_KL53_PROTEIN_39	0.99	0.43	295	521	putative esterase containing tailspike
RBPPD005	LIT_020_KL103KL55_PROTEIN_160	1.0	0.46	823	1531	TC10-like tail fiber in mydovirus - variant 1
RBPPD006	LIT_020_KL103KL55_PROTEIN_160	1.0	0.33	307	817	TC10-like tail fiber in mydovirus - variant 1
RBPPD007	LIT_020_KL103KL55_PROTEIN_169	1.0	0.27	429	586	TC8 tail fiber
RBPPD007	LIT_076_KL45KL71_PROTEIN_106	1.0	0.27	429	586	TC8 tail fiber
RBPPD007	LIT_021_KL22KL37_PROTEIN_77	0.99	0.27	429	586	TC8 tail fiber
RBPPD007	LIT_073_KL23KL54KL58_PROTEIN_89	0.99	0.27	429	586	TC8 tail fiber
RBPPD007	LIT_074_KL24KL54KL58_PROTEIN_54	0.99	0.27	429	586	TC8 tail fiber
RBPPD007	LIT_075_KL18_PROTEIN_68	0.99	0.27	429	586	TC8 tail fiber
RBPPD007	REC_020_KL23_PROTEIN_40	0.99	0.27	429	586	TC8 tail fiber
RBPPD008	LIT_020_KL103KL55_PROTEIN_169	1.0	0.2	1	120	TC8 tail fiber
RBPPD008	LIT_076_KL45KL71_PROTEIN_106	0.95	0.19	1	120	TC8 tail fiber
RBPPD008	LIT_073_KL23KL54KL58_PROTEIN_89	0.89	0.18	1	120	TC8 tail fiber
RBPPD008	LIT_075_KL18_PROTEIN_68	0.85	0.17	7	120	TC8 tail fiber
RBPPD008	LIT_074_KL24KL54KL58_PROTEIN_54	0.8	0.16	1	120	TC8 tail fiber
RBPPD009	LIT_020_KL103KL55_PROTEIN_169	1.0	0.33	121	311	TC8 tail fiber
RBPPD009	LIT_073_KL23KL54KL58_PROTEIN_89	0.99	0.32	121	311	TC8 tail fiber
RBPPD009	LIT_074_KL24KL54KL58_PROTEIN_54	0.98	0.32	121	309	TC8 tail fiber
RBPPD009	LIT_076_KL45KL71_PROTEIN_106	0.98	0.32	121	311	TC8 tail fiber
