query	qLen	target	tLen	qCov	tCov	qstart	qend	tstart	tend	fid_orig	xid	hid	tid	fid	xname	hname	tname	fname	PHROGS1_function	PHROGS2_function	RBP-cluster	RBP-class	TF-class	evalue	bits	domain	Genome_name	Morphology
CONT_001_KL10_PROTEIN_6	791	2885183	407	0.48	0.95	194	573	20	405	5.1.4.22	5	5.1	5.1.4	5.1.4.22	beta-propeller-like	beta-propeller	7-bladed	Nucleoporin_N	***  tail protein	*    unknown function	RBP1	T7 gp12 nozzle-like	TC2	9.38e-06	121	5.1.4:7-bladed	CONT_001_KL10	Podovirus
CONT_002_KL10_PROTEIN_39	791	2210	344	0.67	1.0	45	577	2	344	5.1.4.312	5	5.1	5.1.4	5.1.4.312	beta-propeller-like	beta-propeller	7-bladed	ANAPC4_WD40_8	***  tail protein	*    unknown function	RBP1	T7 gp12 nozzle-like	TC2	7.019e-05	133	5.1.4:7-bladed	CONT_002_KL10	Podovirus
CONT_002_KL10_PROTEIN_45	511	2409668	163	0.25	0.82	383	511	31	163	10.1.2.16	10	10.1	10.1.2	10.1.2.16	jelly-roll	Concanavalin A-like	Galactose-binding domain-like	CBM_4_9	***  tail spike protein	*    tail fiber protein	RBP2	tailspike depolymerase		1.048e-06	297	10.1.2:Galactose-binding domain-like	CONT_002_KL10	Podovirus
CONT_002_KL10_PROTEIN_45	511	2409669	376	0.56	0.75	64	351	89	369	207.2.1.119	207	207.2	207.2.1	207.2.1.119	Single-stranded right-handed beta-helix	NO_H_NAME	Pectin lyase-like	UNK_F_TYPE	***  tail spike protein	*    tail fiber protein	RBP2	tailspike depolymerase		1.02e-05	206	207.2.1:Pectin lyase-like	CONT_002_KL10	Podovirus
CONT_003_KL127_PROTEIN_14	657	1388532	200	0.2	0.55	463	593	11	120	10.1.2.48	10	10.1	10.1.2	10.1.2.48	jelly-roll	Concanavalin A-like	Galactose-binding domain-like	EUF07612	-	-	RBP3	tailspike depolymerase		0.0005988	155	10.1.2:Galactose-binding domain-like	CONT_003_KL127	Podovirus
CONT_003_KL127_PROTEIN_14	657	2701717	393	0.61	0.93	32	432	8	374	207.2.1.83	207	207.2	207.2.1	207.2.1.83	Single-stranded right-handed beta-helix	NO_H_NAME	Pectin lyase-like	Glyco_hydro_120	-	-	RBP3	tailspike depolymerase		6.444e-05	128	207.2.1:Pectin lyase-like	CONT_003_KL127	Podovirus
CONT_004_KL17_PROTEIN_45	521	10060	282	0.46	0.8	38	277	1	225	2007.5.1.3	2007	2007.5	2007.5.1	2007.5.1.3	Flavodoxin-like	NO_H_NAME	SGNH hydrolase	SASA	***  tail fiber protein	*    tail spike protein	RBP4	putative esterase containing tailspike		2.994e-10	294	2007.5.1:SGNH hydrolase	CONT_004_KL17	Podovirus
CONT_004_KL17_PROTEIN_46	818	1395398	463	0.51	0.94	285	702	3	436	207.2.1.28	207	207.2	207.2.1	207.2.1.28	Single-stranded right-handed beta-helix	NO_H_NAME	Pectin lyase-like	Glyco_hydro_28	***  tail fiber protein	***  colanic acid degradation	RBP5	tailspike depolymerase		2.735e-07	223	207.2.1:Pectin lyase-like	CONT_004_KL17	Podovirus
CONT_005_KL20_PROTEIN_12	791	2218	342	0.38	0.89	278	580	38	342	5.1.4.328	5	5.1	5.1.4	5.1.4.328	beta-propeller-like	beta-propeller	7-bladed	ANAPC4_WD40_11	***  tail protein	*    unknown function	RBP1	T7 gp12 nozzle-like	TC2	2.226e-05	133	5.1.4:7-bladed	CONT_005_KL20	Podovirus
CONT_005_KL20_PROTEIN_6	511	1827939	218	0.49	0.96	72	323	8	216	2007.5.1.31	2007	2007.5	2007.5.1	2007.5.1.31	Flavodoxin-like	NO_H_NAME	SGNH hydrolase	Lipase_GDSL_2	***  tail fiber protein	***  tail spike protein	RBP6	GDSL-like lipase containing tailspike		2.579e-08	238	2007.5.1:SGNH hydrolase	CONT_005_KL20	Podovirus
CONT_005_KL20_PROTEIN_6	511	2581320	125	0.2	0.9	407	507	6	118	11.1.1.2685	11	11.1	11.1.1	11.1.1.2685	Immunoglobulin-like beta-sandwich	Immunoglobulin-related	Immunoglobulin/Fibronectin type III/E set domains/PapD-like	UNK_F_TYPE	***  tail fiber protein	***  tail spike protein	RBP6	GDSL-like lipase containing tailspike		7.978e-06	159	11.1.1:Immunoglobulin/Fibronectin type III/E set domains/PapD-like	CONT_005_KL20	Podovirus
CONT_005_KL20_PROTEIN_7	903	157109	317	0.39	0.88	291	638	1	279	207.2.1.14	207	207.2	207.2.1	207.2.1.14	Single-stranded right-handed beta-helix	NO_H_NAME	Pectin lyase-like	Pectinesterase	***  tail fiber protein	***  tail spike protein	RBP7	tailspike depolymerase		0.0003763	109	207.2.1:Pectin lyase-like	CONT_005_KL20	Podovirus
CONT_006_KL22_PROTEIN_8	708	198885	374	0.49	1.0	213	560	2	374	207.2.1.83	207	207.2	207.2.1	207.2.1.83	Single-stranded right-handed beta-helix	NO_H_NAME	Pectin lyase-like	Glyco_hydro_120	***  tail fiber protein	***  minor tail protein	RBP8	tailspike depolymerase		2.697e-06	212	207.2.1:Pectin lyase-like	CONT_006_KL22	Siphovirus
CONT_008_KL53_PROTEIN_1	400	154478	155	0.32	0.96	264	393	4	152	10.1.2.22	10	10.1	10.1.2	10.1.2.22	jelly-roll	Concanavalin A-like	Galactose-binding domain-like	Endotoxin_C	***  tail fiber protein	***  tail protein and host specificity	RBP9	SU10 tail fiber-like		0.0005937	131	10.1.2:Galactose-binding domain-like	CONT_008_KL53	Siphovirus
CONT_008_KL53_PROTEIN_3	845	2491358	451	0.61	0.97	193	708	1	439	207.2.1.118	207	207.2	207.2.1	207.2.1.118	Single-stranded right-handed beta-helix	NO_H_NAME	Pectin lyase-like	UNK_F_TYPE	***  tail fiber protein	***  EPS depolymerase	RBP10	tailspike depolymerase		0.0001011	125	207.2.1:Pectin lyase-like	CONT_008_KL53	Siphovirus
CONT_009_KL53_PROTEIN_3	845	2491358	451	0.61	0.97	193	708	1	439	207.2.1.118	207	207.2	207.2.1	207.2.1.118	Single-stranded right-handed beta-helix	NO_H_NAME	Pectin lyase-like	UNK_F_TYPE	***  tail fiber protein	***  EPS depolymerase	RBP10	tailspike depolymerase		0.0002007	109	207.2.1:Pectin lyase-like	CONT_009_KL53	Siphovirus
CONT_010_KL53_PROTEIN_22	845	2409669	376	0.66	0.98	193	746	1	368	207.2.1.119	207	207.2	207.2.1	207.2.1.119	Single-stranded right-handed beta-helix	NO_H_NAME	Pectin lyase-like	UNK_F_TYPE	***  tail fiber protein	***  EPS depolymerase	RBP10	tailspike depolymerase		1.506e-05	112	207.2.1:Pectin lyase-like	CONT_010_KL53	Siphovirus
CONT_011_KL53_PROTEIN_67	845	2409669	376	0.64	0.98	193	737	1	368	207.2.1.119	207	207.2	207.2.1	207.2.1.119	Single-stranded right-handed beta-helix	NO_H_NAME	Pectin lyase-like	UNK_F_TYPE	***  tail fiber protein	***  EPS depolymerase	RBP10	tailspike depolymerase		2.042e-05	110	207.2.1:Pectin lyase-like	CONT_011_KL53	Siphovirus
CONT_012_KL53_PROTEIN_48	845	2491358	451	0.64	0.98	193	737	3	442	207.2.1.118	207	207.2	207.2.1	207.2.1.118	Single-stranded right-handed beta-helix	NO_H_NAME	Pectin lyase-like	UNK_F_TYPE	***  tail fiber protein	***  EPS depolymerase	RBP10	tailspike depolymerase		7.803e-05	116	207.2.1:Pectin lyase-like	CONT_012_KL53	Siphovirus
CONT_013_KL53_PROTEIN_1	845	2409669	376	0.65	0.97	193	745	1	366	207.2.1.119	207	207.2	207.2.1	207.2.1.119	Single-stranded right-handed beta-helix	NO_H_NAME	Pectin lyase-like	UNK_F_TYPE	***  tail fiber protein	***  EPS depolymerase	RBP10	tailspike depolymerase		9.598e-06	113	207.2.1:Pectin lyase-like	CONT_013_KL53	Siphovirus
CONT_014_KL53_PROTEIN_33	791	2210	344	0.67	1.0	45	577	2	344	5.1.4.312	5	5.1	5.1.4	5.1.4.312	beta-propeller-like	beta-propeller	7-bladed	ANAPC4_WD40_8	***  tail protein	*    unknown function	RBP1	T7 gp12 nozzle-like	TC2	8.65e-05	125	5.1.4:7-bladed	CONT_014_KL53	Podovirus
CONT_014_KL53_PROTEIN_38	818	2491363	452	0.54	0.87	284	727	18	412	207.2.1.111	207	207.2	207.2.1	207.2.1.111	Single-stranded right-handed beta-helix	NO_H_NAME	Pectin lyase-like	Pectate_lyase_3,Glyco_hydro_120	***  tail fiber protein	***  colanic acid degradation	RBP5	tailspike depolymerase		5.298e-07	213	207.2.1:Pectin lyase-like	CONT_014_KL53	Podovirus
CONT_014_KL53_PROTEIN_39	521	10060	282	0.46	0.8	38	277	1	225	2007.5.1.3	2007	2007.5	2007.5.1	2007.5.1.3	Flavodoxin-like	NO_H_NAME	SGNH hydrolase	SASA	***  tail fiber protein	*    tail spike protein	RBP4	putative esterase containing tailspike		5.276e-10	288	2007.5.1:SGNH hydrolase	CONT_014_KL53	Podovirus
CONT_015_KL53_PROTEIN_6	845	2491358	451	0.61	0.97	193	707	1	438	207.2.1.118	207	207.2	207.2.1	207.2.1.118	Single-stranded right-handed beta-helix	NO_H_NAME	Pectin lyase-like	UNK_F_TYPE	***  tail fiber protein	***  EPS depolymerase	RBP10	tailspike depolymerase		3.663e-05	134	207.2.1:Pectin lyase-like	CONT_015_KL53	Siphovirus
CONT_016_KL54_PROTEIN_35	558	2701717	393	0.67	0.93	104	477	10	373	207.2.1.83	207	207.2	207.2.1	207.2.1.83	Single-stranded right-handed beta-helix	NO_H_NAME	Pectin lyase-like	Glyco_hydro_120	***  tail fiber protein	***  tail spike protein	RBP11	tailspike depolymerase		7.514e-08	251	207.2.1:Pectin lyase-like	CONT_016_KL54	Podovirus
